IPµØÖ·,ç«_,___ç«_,TLS,_°æ_ä¸_,_°å_,___,TCPå»¶è_(ms),__º¦(MB/s)
,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,81,6.39
,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,162,6.38
,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,122,6.38
,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,81,6.36
,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,94,6.34
,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,74,6.34
,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,90,6.33
,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,108,6.33
,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,72,6.32
,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,86,6.32
,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,91,6.32
,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,98,6.3
,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,85,6.3
,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,132,6.27
,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,87,6.26
,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,76,6.26
,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,110,6.25
,443,443,TRUE,FRA,Europe,Frankfurt,178,6.24
,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,183,6.24
,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,97,6.23
,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,76,6.23
,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,216,6.23
,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,84,6.22
,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,138,6.21
,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,84,6.21
,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,87,6.21
,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,122,6.2
,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,81,6.2
,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,221,6.17
,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,119,6.17
,443,443,TRUE,FRA,Europe,Frankfurt,170,6.17
